2017-11-07 18:21:19.961 [http-apr-8080-exec-14] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"access_token":"WKPZKSzcDrMtIJR3tLi23w8ogK8h5ehryzngz5RnWqGOx2N97gzcsJfLy_PysKuV2ZJPBaYp4oJkDN-UIG9h8YjJYmzru9tluBTdv8TUozEvTkfnXjZN0miz3ZaQrkJtCHWgAEAFKZ","expires_in":7200}
2017-11-07 18:21:24.512 [http-apr-8080-exec-19] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - <xml><ToUserName><![CDATA[gh_8c1dd328db4e]]></ToUserName><FromUserName><![CDATA[oDLefxDvQajibXhSWIWHrkiO1n2o]]></FromUserName><CreateTime>1510050084</CreateTime><MsgType><![CDATA[event]]></MsgType><Event><![CDATA[VIEW]]></Event><EventKey><![CDATA[http://rayner.nat300.top/weixin_gz/showInvoice.jsp]]></EventKey><MenuId>591675728</MenuId></xml>
2017-11-07 18:21:24.515 [http-apr-8080-exec-19] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - fromUserName:oDLefxDvQajibXhSWIWHrkiO1n2o
2017-11-07 18:21:24.516 [http-apr-8080-exec-19] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - toUserName:gh_8c1dd328db4e
2017-11-07 18:21:24.516 [http-apr-8080-exec-19] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - msgType:event
2017-11-07 18:21:24.516 [http-apr-8080-exec-19] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - Event:VIEW  eventKey:http://rayner.nat300.top/weixin_gz/showInvoice.jsp
2017-11-07 18:21:41.511 [http-apr-8080-exec-11] INFO  com.ray.weixin.gz.controller.WeiXinServlet - post--------------
2017-11-07 18:21:41.513 [http-apr-8080-exec-11] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - parms:{"signature":["1f15213d97f004bf53f8f012c1763528a8273adc"],"timestamp":["1510050101"],"nonce":["1591325120"],"openid":["oDLefxDvQajibXhSWIWHrkiO1n2o"]}
2017-11-07 18:21:41.514 [http-apr-8080-exec-11] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - postData:<xml><ToUserName><![CDATA[gh_8c1dd328db4e]]></ToUserName><FromUserName><![CDATA[oDLefxDvQajibXhSWIWHrkiO1n2o]]></FromUserName><CreateTime>1510050101</CreateTime><MsgType><![CDATA[event]]></MsgType><Event><![CDATA[VIEW]]></Event><EventKey><![CDATA[http://rayner.nat300.top/weixin_gz/showInvoice.jsp]]></EventKey><MenuId>591675728</MenuId></xml>
2017-11-07 18:21:41.515 [http-apr-8080-exec-11] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - 明文模式
2017-11-07 18:21:41.515 [http-apr-8080-exec-11] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - <xml><ToUserName><![CDATA[gh_8c1dd328db4e]]></ToUserName><FromUserName><![CDATA[oDLefxDvQajibXhSWIWHrkiO1n2o]]></FromUserName><CreateTime>1510050101</CreateTime><MsgType><![CDATA[event]]></MsgType><Event><![CDATA[VIEW]]></Event><EventKey><![CDATA[http://rayner.nat300.top/weixin_gz/showInvoice.jsp]]></EventKey><MenuId>591675728</MenuId></xml>
2017-11-07 18:21:41.529 [http-apr-8080-exec-11] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - fromUserName:oDLefxDvQajibXhSWIWHrkiO1n2o
2017-11-07 18:21:41.529 [http-apr-8080-exec-11] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - toUserName:gh_8c1dd328db4e
2017-11-07 18:21:41.530 [http-apr-8080-exec-11] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - msgType:event
2017-11-07 18:21:41.530 [http-apr-8080-exec-11] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - Event:VIEW  eventKey:http://rayner.nat300.top/weixin_gz/showInvoice.jsp
2017-11-07 18:21:41.918 [http-apr-8080-exec-13] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"access_token":"kbJKA_qe64Qt18k1HdJL-qdDnppRbiPV5P5m8S7ZG8XfKYQK-btjym8Bii2wGXcBVlv5eJk1E9M31N95bugfU9NHP-3MVbs_1N1uOY3YMLfHE636UaPx3XttwttjLr44BEHeADAUXA","expires_in":7200}
2017-11-07 18:21:42.020 [http-apr-8080-exec-13] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"errcode":0,"ticket":"kgt8ON7yVITDhtdwci0qed-m2nUygHpV3DXUL-ToMkhPApxtfh2gKdIeor3imcxVFP-2XAPiOcq_JwoPklYpgg","errmsg":"ok","expires_in":7200}
2017-11-07 18:21:42.022 [http-apr-8080-exec-13] INFO  com.ray.weixin.gz.util.AuthHelper - accessToken:kbJKA_qe64Qt18k1HdJL-qdDnppRbiPV5P5m8S7ZG8XfKYQK-btjym8Bii2wGXcBVlv5eJk1E9M31N95bugfU9NHP-3MVbs_1N1uOY3YMLfHE636UaPx3XttwttjLr44BEHeADAUXA
2017-11-07 18:21:42.023 [http-apr-8080-exec-13] INFO  com.ray.weixin.gz.util.AuthHelper - ticket:kgt8ON7yVITDhtdwci0qed-m2nUygHpV3DXUL-ToMkhPApxtfh2gKdIeor3imcxVFP-2XAPiOcq_JwoPklYpgg
2017-11-07 18:21:42.023 [http-apr-8080-exec-13] INFO  com.ray.weixin.gz.util.AuthHelper - nonceStr:8d3ab252-ab48-418b-9520-c26a9101c6c2
2017-11-07 18:21:42.024 [http-apr-8080-exec-13] INFO  com.ray.weixin.gz.util.AuthHelper - timeStamp:1510050101
2017-11-07 18:21:42.024 [http-apr-8080-exec-13] INFO  com.ray.weixin.gz.util.AuthHelper - signedUrl:http://rayner.nat300.top/weixin_gz/showInvoice.jsp
2017-11-07 18:21:42.024 [http-apr-8080-exec-13] INFO  com.ray.weixin.gz.util.AuthHelper - signature:cda4ef713c2b2ddd129cf39a3a27b9835113237f
2017-11-07 18:21:42.025 [http-apr-8080-exec-13] INFO  com.ray.weixin.gz.util.AuthHelper - appId:wxa0064ea657f80062
2017-11-07 18:21:42.025 [http-apr-8080-exec-13] INFO  com.ray.weixin.gz.util.AuthHelper - configValue:{signature:'cda4ef713c2b2ddd129cf39a3a27b9835113237f',nonceStr:'8d3ab252-ab48-418b-9520-c26a9101c6c2',timeStamp:'1510050101',appId:'wxa0064ea657f80062'}
2017-11-07 18:21:42.142 [http-apr-8080-exec-13] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"access_token":"kbJKA_qe64Qt18k1HdJL-qdDnppRbiPV5P5m8S7ZG8WplLcX6xDAm01gZG9MDveyNcESpDG_7ShVsYkwmgY7Rt_jMXlyxTjcDmtVANUc_rDrzKU-pfAx_6XMK0jGxckEJTHeADAQAO","expires_in":7200}
2017-11-07 18:21:42.228 [http-apr-8080-exec-13] INFO  com.ray.weixin.gz.service.invoice.InvoiceService - jsonObject:{"errcode":0,"ticket":"IpK_1T69hDhZkLQTlwsAX5ZwNp_4txyINLb67lXqTZLu1wnHfVUUtHcdEyG5_WoqaHyMZAIs8Y28ypHDa0iuvg","errmsg":"ok","expires_in":7200}
2017-11-07 18:21:42.229 [http-apr-8080-exec-13] INFO  com.ray.weixin.gz.util.AuthHelper - apiTicket:IpK_1T69hDhZkLQTlwsAX5ZwNp_4txyINLb67lXqTZLu1wnHfVUUtHcdEyG5_WoqaHyMZAIs8Y28ypHDa0iuvg
2017-11-07 18:21:42.229 [http-apr-8080-exec-13] INFO  com.ray.weixin.gz.util.AuthHelper - appId:wxa0064ea657f80062
2017-11-07 18:21:42.229 [http-apr-8080-exec-13] INFO  com.ray.weixin.gz.util.AuthHelper - timeStamp:1510050102
2017-11-07 18:21:42.229 [http-apr-8080-exec-13] INFO  com.ray.weixin.gz.util.AuthHelper - nonceStr:4c6e2623-2e7e-4686-b867-599a86b83305
2017-11-07 18:21:42.229 [http-apr-8080-exec-13] INFO  com.ray.weixin.gz.util.AuthHelper - cardType:INVOICE
2017-11-07 18:21:42.230 [http-apr-8080-exec-13] INFO  com.ray.weixin.gz.util.AuthHelper - cardSign:154223ee351a4fadf7d52ba702e96cf509be492d
2017-11-07 18:21:42.230 [http-apr-8080-exec-13] INFO  com.ray.weixin.gz.util.AuthHelper - signType:SHA1
2017-11-07 18:21:42.230 [http-apr-8080-exec-13] INFO  com.ray.weixin.gz.util.AuthHelper - configValue:{"signType":"SHA1","cardSign":"154223ee351a4fadf7d52ba702e96cf509be492d","nonceStr":"4c6e2623-2e7e-4686-b867-599a86b83305","timestamp":1510050102}
