2017-11-15 17:27:20.597 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"access_token":"9xwiGjnIoWXi5QZ8_hVgQqDVwI1BMfNTbEDmmmBimR22BU2lRXZvtHrKeo1scUtKfMGyX-XVTxkk3py65fC-2fFVovkxS0U6grKV6K-Q0ro4d1UeBeLapIVLU7S0w7FzMBWeAAAQFA","expires_in":7200}
2017-11-15 17:27:20.935 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.util.AuthHelper - configValue:{"signType":"SHA1","cardSign":"b13be960e3c875820e9fc85de8b37ba87293504c","nonceStr":"fe335f5b-e503-4c85-acad-5b12c8849d5e","timestamp":"1510738040"}
2017-11-15 17:27:35.720 [http-apr-8080-exec-4] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"access_token":"9xwiGjnIoWXi5QZ8_hVgQqDVwI1BMfNTbEDmmmBimR0Gq7LSniBxdPMO6iTA0xIXT3UomgQrdolM6WN7zemh4_vTx4kuseHvpRBTW7K1Kd_Pon_Lc6YSAe2cRyy1hmHhNFUeAAAXPE","expires_in":7200}
2017-11-15 17:27:35.818 [http-apr-8080-exec-4] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"errcode":0,"ticket":"HoagFKDcsGMVCIY2vOjf9mrEXbwXSbqpUm0898_LsZjrgUvXUmjZj1WFa7xD7-y9AQW9Hpa1_IwgC-BK5w_kpw","errmsg":"ok","expires_in":7200}
2017-11-15 17:27:35.818 [http-apr-8080-exec-4] INFO  com.ray.weixin.gz.util.AuthHelper - accessToken:9xwiGjnIoWXi5QZ8_hVgQqDVwI1BMfNTbEDmmmBimR0Gq7LSniBxdPMO6iTA0xIXT3UomgQrdolM6WN7zemh4_vTx4kuseHvpRBTW7K1Kd_Pon_Lc6YSAe2cRyy1hmHhNFUeAAAXPE
2017-11-15 17:27:35.819 [http-apr-8080-exec-4] INFO  com.ray.weixin.gz.util.AuthHelper - ticket:HoagFKDcsGMVCIY2vOjf9mrEXbwXSbqpUm0898_LsZjrgUvXUmjZj1WFa7xD7-y9AQW9Hpa1_IwgC-BK5w_kpw
2017-11-15 17:27:35.819 [http-apr-8080-exec-4] INFO  com.ray.weixin.gz.util.AuthHelper - nonceStr:b308bd19-31b8-4bb7-8879-fb8f477bf8fc
2017-11-15 17:27:35.819 [http-apr-8080-exec-4] INFO  com.ray.weixin.gz.util.AuthHelper - timeStamp:1510738055
2017-11-15 17:27:35.819 [http-apr-8080-exec-4] INFO  com.ray.weixin.gz.util.AuthHelper - signedUrl:http://rayner.nat300.top/weixin_gz/showInvoice.jsp
2017-11-15 17:27:35.819 [http-apr-8080-exec-4] INFO  com.ray.weixin.gz.util.AuthHelper - signature:fb0d899553cacfb9e90c045b692087cc927246f1
2017-11-15 17:27:35.819 [http-apr-8080-exec-4] INFO  com.ray.weixin.gz.util.AuthHelper - appId:wx07c4d9d0895fe212
2017-11-15 17:27:35.819 [http-apr-8080-exec-4] INFO  com.ray.weixin.gz.util.AuthHelper - configValue:{signature:'fb0d899553cacfb9e90c045b692087cc927246f1',nonceStr:'b308bd19-31b8-4bb7-8879-fb8f477bf8fc',timeStamp:'1510738055',appId:'wx07c4d9d0895fe212'}
2017-11-15 17:27:35.917 [http-apr-8080-exec-4] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"access_token":"9xwiGjnIoWXi5QZ8_hVgQqDVwI1BMfNTbEDmmmBimR0uiL-VAu6D0Xf4QABEHJwStfX8EmJU2sdeglt3B8oBIT3tKam9WHcgeXfwYuUYZDSUWXjzck5gLrFCtYllGVq_JDHeAAAAUY","expires_in":7200}
2017-11-15 17:27:36.007 [http-apr-8080-exec-4] INFO  com.ray.weixin.gz.service.invoice.InvoiceService - jsonObject:{"errcode":0,"ticket":"9KwiourQPRN3vx3Nn1c_iXCh-5F7rD5UiR6FRkNziS1qBd3gAGN5S8BmdmsudJYYtP_uKP4Q2TgqHEb_CnvT9w","errmsg":"ok","expires_in":7200}
2017-11-15 17:27:36.008 [http-apr-8080-exec-4] INFO  com.ray.weixin.gz.util.AuthHelper - apiTicket:9KwiourQPRN3vx3Nn1c_iXCh-5F7rD5UiR6FRkNziS1qBd3gAGN5S8BmdmsudJYYtP_uKP4Q2TgqHEb_CnvT9w
2017-11-15 17:27:36.008 [http-apr-8080-exec-4] INFO  com.ray.weixin.gz.util.AuthHelper - appId:wx07c4d9d0895fe212
2017-11-15 17:27:36.008 [http-apr-8080-exec-4] INFO  com.ray.weixin.gz.util.AuthHelper - timeStamp:1510738056
2017-11-15 17:27:36.008 [http-apr-8080-exec-4] INFO  com.ray.weixin.gz.util.AuthHelper - nonceStr:b32a3f00-572b-4f45-b72d-5400a85dec31
2017-11-15 17:27:36.008 [http-apr-8080-exec-4] INFO  com.ray.weixin.gz.util.AuthHelper - cardType:INVOICE
2017-11-15 17:27:36.008 [http-apr-8080-exec-4] INFO  com.ray.weixin.gz.util.AuthHelper - cardSign:c1113e8b88539ed1d8f2a6e8e47e9279de0be693
2017-11-15 17:27:36.008 [http-apr-8080-exec-4] INFO  com.ray.weixin.gz.util.AuthHelper - signType:SHA1
2017-11-15 17:27:36.009 [http-apr-8080-exec-4] INFO  com.ray.weixin.gz.util.AuthHelper - configValue:{"signType":"SHA1","cardSign":"c1113e8b88539ed1d8f2a6e8e47e9279de0be693","nonceStr":"b32a3f00-572b-4f45-b72d-5400a85dec31","timestamp":"1510738056"}
